sample_id,run_id,cycle_id,tooth_type,cutting_edge,force_file,vib_file,image_file,image_rel,wear_value,wear_level,vb_half_ap,wear_area,has_force,has_vib,has_image,is_complete_multimodal,image_dir_count,remark
cycle_04_side_2,cycle_04,4,side,2,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-26-4.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-26-04.csv,D:\my\Future\QIT-CEMC Dataset\Image\04\side-2.png,04/side-2.png,0.1032,1,0.0971,0.0351,True,True,True,True,8,
cycle_04_side_3,cycle_04,4,side,3,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-26-4.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-26-04.csv,D:\my\Future\QIT-CEMC Dataset\Image\04\side-3.png,04/side-3.png,0.1194,1,0.1045,0.04710000000000001,True,True,True,True,8,
cycle_04_side_4,cycle_04,4,side,4,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-26-4.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-26-04.csv,D:\my\Future\QIT-CEMC Dataset\Image\04\side-4.png,04/side-4.png,0.1074,1,0.1015,0.0691,True,True,True,True,8,
cycle_05_side_1,cycle_05,5,side,1,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-27-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-27-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\05\side-1.png,05/side-1.png,0.1174,1,0.1076,0.0425,True,True,True,True,8,
cycle_05_side_2,cycle_05,5,side,2,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-27-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-27-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\05\side-2.png,05/side-2.png,0.1044,1,0.1015,0.0481,True,True,True,True,8,
cycle_05_side_3,cycle_05,5,side,3,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-27-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-27-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\05\side-3.png,05/side-3.png,0.1234,1,0.1076,0.0574,True,True,True,True,8,
cycle_05_side_4,cycle_05,5,side,4,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-27-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-27-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\05\side-4.png,05/side-4.png,0.1094,1,0.1081,0.0695,True,True,True,True,8,
cycle_06_side_1,cycle_06,6,side,1,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-27-2.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-27-02.csv,D:\my\Future\QIT-CEMC Dataset\Image\06\side-1.png,06/side-1.png,0.1195,1,0.1089,0.04889999999999999,True,True,True,True,8,
cycle_06_side_2,cycle_06,6,side,2,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-27-2.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-27-02.csv,D:\my\Future\QIT-CEMC Dataset\Image\06\side-2.png,06/side-2.png,0.1096,1,0.1081,0.0551,True,True,True,True,8,
cycle_06_side_3,cycle_06,6,side,3,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-27-2.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-27-02.csv,D:\my\Future\QIT-CEMC Dataset\Image\06\side-3.png,06/side-3.png,0.1325,1,0.1136,0.06470000000000001,True,True,True,True,8,
cycle_06_side_4,cycle_06,6,side,4,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-27-2.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-27-02.csv,D:\my\Future\QIT-CEMC Dataset\Image\06\side-4.png,06/side-4.png,0.114,1,0.1135,0.07419999999999999,True,True,True,True,8,
cycle_07_side_1,cycle_07,7,side,1,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-27-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-27-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\07\side-1.png,07/side-1.png,0.1198,1,0.1134,0.060599999999999994,True,True,True,True,8,
cycle_07_side_2,cycle_07,7,side,2,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-27-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-27-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\07\side-2.png,07/side-2.png,0.1138,1,0.1136,0.0585,True,True,True,True,8,
cycle_07_side_3,cycle_07,7,side,3,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-27-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-27-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\07\side-3.png,07/side-3.png,0.1373,1,0.1195,0.0706,True,True,True,True,8,
cycle_07_side_4,cycle_07,7,side,4,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-27-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-27-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\07\side-4.png,07/side-4.png,0.1293,1,0.1194,0.0766,True,True,True,True,8,
cycle_08_side_1,cycle_08,8,side,1,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-28-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-28-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\08\side-1.png,08/side-1.png,0.1253,1,0.1194,0.06259999999999999,True,True,True,True,8,
cycle_08_side_2,cycle_08,8,side,2,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-28-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-28-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\08\side-2.png,08/side-2.png,0.1203,1,0.1194,0.06539999999999999,True,True,True,True,8,
cycle_08_side_3,cycle_08,8,side,3,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-28-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-28-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\08\side-3.png,08/side-3.png,0.1432,1,0.1253,0.07919999999999999,True,True,True,True,8,
cycle_08_side_4,cycle_08,8,side,4,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-28-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-28-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\08\side-4.png,08/side-4.png,0.1373,1,0.1253,0.08079999999999998,True,True,True,True,8,
cycle_09_side_1,cycle_09,9,side,1,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-28-2.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-28-02.csv,D:\my\Future\QIT-CEMC Dataset\Image\09\side-1.png,09/side-1.png,0.1259,1,0.1255,0.0675,True,True,True,True,8,
cycle_09_side_2,cycle_09,9,side,2,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-28-2.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-28-02.csv,D:\my\Future\QIT-CEMC Dataset\Image\09\side-2.png,09/side-2.png,0.1268,1,0.1253,0.0789,True,True,True,True,8,
cycle_09_side_3,cycle_09,9,side,3,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-28-2.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-28-02.csv,D:\my\Future\QIT-CEMC Dataset\Image\09\side-3.png,09/side-3.png,0.1492,1,0.1255,0.0867,True,True,True,True,8,
cycle_09_side_4,cycle_09,9,side,4,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-28-2.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-28-02.csv,D:\my\Future\QIT-CEMC Dataset\Image\09\side-4.png,09/side-4.png,0.1379,1,0.1314,0.08179999999999998,True,True,True,True,8,
cycle_10_side_1,cycle_10,10,side,1,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-28-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-28-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\10\side-1.png,10/side-1.png,0.1374,1,0.1314,0.07549999999999998,True,True,True,True,8,
cycle_10_side_2,cycle_10,10,side,2,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-28-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-28-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\10\side-2.png,10/side-2.png,0.1374,1,0.1314,0.0829,True,True,True,True,8,
cycle_10_side_3,cycle_10,10,side,3,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-28-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-28-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\10\side-3.png,10/side-3.png,0.1553,1,0.1314,0.08830000000000002,True,True,True,True,8,
cycle_10_side_4,cycle_10,10,side,4,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-28-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-28-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\10\side-4.png,10/side-4.png,0.1433,1,0.1373,0.08399999999999999,True,True,True,True,8,
cycle_11_side_1,cycle_11,11,side,1,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-29-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-29-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\11\side-1.png,11/side-1.png,0.1374,1,0.1373,0.07619999999999999,True,True,True,True,8,
cycle_11_side_2,cycle_11,11,side,2,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-29-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-29-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\11\side-2.png,11/side-2.png,0.155,1,0.1374,0.09769999999999998,True,True,True,True,8,
cycle_11_side_3,cycle_11,11,side,3,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-29-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-29-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\11\side-3.png,11/side-3.png,0.185,1,0.1791,0.08880000000000002,True,True,True,True,8,
cycle_11_side_4,cycle_11,11,side,4,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-29-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-29-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\11\side-4.png,11/side-4.png,0.2128,2,0.1378,0.1025,True,True,True,True,8,
cycle_12_side_1,cycle_12,12,side,1,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-29-2.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-29-02.csv,D:\my\Future\QIT-CEMC Dataset\Image\12\side-1.png,12/side-1.png,0.1432,1,0.1432,0.07730000000000001,True,True,True,True,8,
cycle_12_side_2,cycle_12,12,side,2,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-29-2.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-29-02.csv,D:\my\Future\QIT-CEMC Dataset\Image\12\side-2.png,12/side-2.png,0.1791,1,0.179,0.10669999999999999,True,True,True,True,8,
cycle_12_side_3,cycle_12,12,side,3,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-29-2.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-29-02.csv,D:\my\Future\QIT-CEMC Dataset\Image\12\side-3.png,12/side-3.png,0.2031,2,0.1851,0.10060000000000002,True,True,True,True,8,
cycle_12_side_4,cycle_12,12,side,4,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-29-2.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-29-02.csv,D:\my\Future\QIT-CEMC Dataset\Image\12\side-4.png,12/side-4.png,0.2149,2,0.1432,0.10569999999999999,True,True,True,True,8,
cycle_13_side_1,cycle_13,13,side,1,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-29-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-29-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\13\side-1.png,13/side-1.png,0.1731,1,0.1493,0.0887,True,True,True,True,8,
cycle_13_side_2,cycle_13,13,side,2,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-29-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-29-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\13\side-2.png,13/side-2.png,0.185,1,0.1791,0.11809999999999998,True,True,True,True,8,
cycle_13_side_3,cycle_13,13,side,3,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-29-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-29-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\13\side-3.png,13/side-3.png,0.209,2,0.191,0.10970000000000002,True,True,True,True,8,
cycle_13_side_4,cycle_13,13,side,4,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-29-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-29-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\13\side-4.png,13/side-4.png,0.2209,2,0.1492,0.1182,True,True,True,True,8,
cycle_14_side_1,cycle_14,14,side,1,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-30-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-30-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\14\side-1.png,14/side-1.png,0.179,1,0.1503,0.092,True,True,True,True,8,
cycle_14_side_2,cycle_14,14,side,2,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-30-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-30-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\14\side-2.png,14/side-2.png,0.1901,1,0.1854,0.1235,True,True,True,True,8,
cycle_14_side_3,cycle_14,14,side,3,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-30-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-30-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\14\side-3.png,14/side-3.png,0.2089,2,0.1973,0.11450000000000002,True,True,True,True,8,
cycle_14_side_4,cycle_14,14,side,4,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-30-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-30-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\14\side-4.png,14/side-4.png,0.2263,2,0.1493,0.1268,True,True,True,True,8,
cycle_15_side_1,cycle_15,15,side,1,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-30-2.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-30-02.csv,D:\my\Future\QIT-CEMC Dataset\Image\15\side-1.png,15/side-1.png,0.1851,1,0.1672,0.1036,True,True,True,True,8,
cycle_15_side_2,cycle_15,15,side,2,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-30-2.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-30-02.csv,D:\my\Future\QIT-CEMC Dataset\Image\15\side-2.png,15/side-2.png,0.2209,2,0.2096,0.1289,True,True,True,True,8,
cycle_15_side_3,cycle_15,15,side,3,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-30-2.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-30-02.csv,D:\my\Future\QIT-CEMC Dataset\Image\15\side-3.png,15/side-3.png,0.2279,2,0.209,0.12060000000000001,True,True,True,True,8,
cycle_15_side_4,cycle_15,15,side,4,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-30-2.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-30-02.csv,D:\my\Future\QIT-CEMC Dataset\Image\15\side-4.png,15/side-4.png,0.2304,2,0.1556,0.1284,True,True,True,True,8,
cycle_16_side_1,cycle_16,16,side,1,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-30-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-30-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\16\side-1.png,16/side-1.png,0.191,1,0.1732,0.1051,True,True,True,True,8,
cycle_16_side_2,cycle_16,16,side,2,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-30-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-30-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\16\side-2.png,16/side-2.png,0.2269,2,0.2149,0.13219999999999998,True,True,True,True,8,
cycle_16_side_3,cycle_16,16,side,3,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-30-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-30-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\16\side-3.png,16/side-3.png,0.2331,2,0.2152,0.1308,True,True,True,True,8,
cycle_16_side_4,cycle_16,16,side,4,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-30-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-30-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\16\side-4.png,16/side-4.png,0.2383,2,0.1616,0.1371,True,True,True,True,8,
cycle_17_side_1,cycle_17,17,side,1,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-30-4.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-30-04.csv,D:\my\Future\QIT-CEMC Dataset\Image\17\side-1.png,17/side-1.png,0.1911,1,0.1791,0.1225,True,True,True,True,8,
cycle_17_side_2,cycle_17,17,side,2,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-30-4.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-30-04.csv,D:\my\Future\QIT-CEMC Dataset\Image\17\side-2.png,17/side-2.png,0.228,2,0.2209,0.1492,True,True,True,True,8,
cycle_17_side_3,cycle_17,17,side,3,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-30-4.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-30-04.csv,D:\my\Future\QIT-CEMC Dataset\Image\17\side-3.png,17/side-3.png,0.2346,2,0.2269,0.1391,True,True,True,True,8,
cycle_17_side_4,cycle_17,17,side,4,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-30-4.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-30-04.csv,D:\my\Future\QIT-CEMC Dataset\Image\17\side-4.png,17/side-4.png,0.239,2,0.1735,0.15009999999999998,True,True,True,True,8,
cycle_18_side_1,cycle_18,18,side,1,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-31-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-31-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\18\side-1.png,18/side-1.png,0.197,1,0.185,0.1359,True,True,True,True,8,
cycle_18_side_2,cycle_18,18,side,2,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-31-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-31-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\18\side-2.png,18/side-2.png,0.2328,2,0.2211,0.1605,True,True,True,True,8,
cycle_18_side_3,cycle_18,18,side,3,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-31-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-31-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\18\side-3.png,18/side-3.png,0.2387,2,0.2328,0.1453,True,True,True,True,8,
cycle_18_side_4,cycle_18,18,side,4,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-31-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-31-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\18\side-4.png,18/side-4.png,0.245,2,0.1845,0.1604,True,True,True,True,8,
cycle_19_side_1,cycle_19,19,side,1,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-31-2.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-31-02.csv,D:\my\Future\QIT-CEMC Dataset\Image\19\side-1.png,19/side-1.png,0.2029,2,0.191,0.1431,True,True,True,True,8,
cycle_19_side_2,cycle_19,19,side,2,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-31-2.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-31-02.csv,D:\my\Future\QIT-CEMC Dataset\Image\19\side-2.png,19/side-2.png,0.2328,2,0.2269,0.1775,True,True,True,True,8,
cycle_19_side_3,cycle_19,19,side,3,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-31-2.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-31-02.csv,D:\my\Future\QIT-CEMC Dataset\Image\19\side-3.png,19/side-3.png,0.248,2,0.2447,0.1516,True,True,True,True,8,
cycle_19_side_4,cycle_19,19,side,4,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-31-2.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-31-02.csv,D:\my\Future\QIT-CEMC Dataset\Image\19\side-4.png,19/side-4.png,0.2507,2,0.203,0.1654,True,True,True,True,8,
cycle_20_side_1,cycle_20,20,side,1,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-31-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-31-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\20\side-1.png,20/side-1.png,0.2352,2,0.2208,0.1446,True,True,True,True,8,
cycle_20_side_2,cycle_20,20,side,2,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-31-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-31-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\20\side-2.png,20/side-2.png,0.2328,2,0.2281,0.20550000000000002,True,True,True,True,8,
cycle_20_side_3,cycle_20,20,side,3,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-31-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-31-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\20\side-3.png,20/side-3.png,0.2746,2,0.2569,0.1585,True,True,True,True,8,
cycle_20_side_4,cycle_20,20,side,4,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-31-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-31-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\20\side-4.png,20/side-4.png,0.2865,2,0.2387,0.18259999999999998,True,True,True,True,8,
cycle_21_side_1,cycle_21,21,side,1,D:\my\Future\QIT-CEMC Dataset\Force and torque data\02-01-01.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\02-01-01.xlsx,D:\my\Future\QIT-CEMC Dataset\Image\21\side-1.png,21/side-1.png,0.2152,2,0.1672,0.0608,True,True,True,True,8,
cycle_21_side_2,cycle_21,21,side,2,D:\my\Future\QIT-CEMC Dataset\Force and torque data\02-01-01.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\02-01-01.xlsx,D:\my\Future\QIT-CEMC Dataset\Image\21\side-2.png,21/side-2.png,0.2065,2,0.197,0.269,True,True,True,True,8,
cycle_21_side_3,cycle_21,21,side,3,D:\my\Future\QIT-CEMC Dataset\Force and torque data\02-01-01.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\02-01-01.xlsx,D:\my\Future\QIT-CEMC Dataset\Image\21\side-3.png,21/side-3.png,0.2751,2,0.2686,0.0844,True,True,True,True,8,
