cycle_id,cutting_edge,vbmax,wear_area,image_file,wear_value,wear_level
18,2,0.1497,0.0887,18/end-2.png,0.1497,1
18,3,0.1373,0.0924,18/end-3.png,0.1373,1
18,4,0.1611,0.0999,18/end-4.png,0.1611,1
19,1,0.1259,0.0818,19/end-1.png,0.1259,1
19,2,0.1552,0.0897,19/end-2.png,0.1552,1
19,3,0.1492,0.1012,19/end-3.png,0.1492,1
19,4,0.1671,0.1047,19/end-4.png,0.1671,1
20,1,0.1259,0.0884,20/end-1.png,0.1259,1
20,2,0.1553,0.0949,20/end-2.png,0.1553,1
20,3,0.1493,0.1092,20/end-3.png,0.1493,1
20,4,0.1732,0.1055,20/end-4.png,0.1732,1
21,1,0.0537,0.0249,21/end-1.png,0.0537,0
21,2,0.0716,0.0326,21/end-2.png,0.0716,0
21,3,0.0716,0.0386,21/end-3.png,0.0716,0
21,4,0.0897,0.0248,21/end-4.png,0.0897,0
22,1,0.0608,0.0271,22/end-1.png,0.0608,0
22,2,0.054,0.0361,22/end-2.png,0.054,0
22,3,0.0725,0.0391,22/end-3.png,0.0725,0
22,4,0.1067,0.0433,22/end-4.png,0.1067,1
23,1,0.0659,0.0337,23/end-1.png,0.0659,0
23,2,0.0656,0.0371,23/end-2.png,0.0656,0
23,3,0.0726,0.0397,23/end-3.png,0.0726,0
23,4,0.1086,0.0465,23/end-4.png,0.1086,1
24,1,0.0776,0.0338,24/end-1.png,0.0776,0
24,2,0.0726,0.0391,24/end-2.png,0.0726,0
24,3,0.0776,0.0215,24/end-3.png,0.0776,0
24,4,0.1096,0.0321,24/end-4.png,0.1096,1
25,1,0.0776,0.0226,25/end-1.png,0.0776,0
25,2,0.0728,0.0233,25/end-2.png,0.0728,0
25,3,0.0776,0.0169,25/end-3.png,0.0776,0
25,4,0.0897,0.0242,25/end-4.png,0.0897,0
26,1,0.0719,0.025,26/end-1.png,0.0719,0
26,2,0.0736,0.0323,26/end-2.png,0.0736,0
26,3,0.0778,0.0298,26/end-3.png,0.0778,0
26,4,0.0776,0.0262,26/end-4.png,0.0776,0
27,1,0.0778,0.0313,27/end-1.png,0.0778,0
27,2,0.0778,0.0372,27/end-2.png,0.0778,0
27,3,0.0838,0.0345,27/end-3.png,0.0838,0
27,4,0.0836,0.0282,27/end-4.png,0.0836,0
28,1,0.0838,0.0346,28/end-1.png,0.0838,0
28,2,0.0876,0.0389,28/end-2.png,0.0876,0
28,3,0.0836,0.0408,28/end-3.png,0.0836,0
28,4,0.0895,0.0311,28/end-4.png,0.0895,0
29,1,0.0838,0.0378,29/end-1.png,0.0838,0
29,2,0.0897,0.0477,29/end-2.png,0.0897,0
29,3,0.0838,0.041,29/end-3.png,0.0838,0
29,4,0.0897,0.0367,29/end-4.png,0.0897,0
30,1,0.0844,0.0388,30/end-1.png,0.0844,0
30,2,0.0901,0.0487,30/end-2.png,0.0901,0
30,3,0.0897,0.0446,30/end-3.png,0.0897,0
30,4,0.0962,0.0379,30/end-4.png,0.0962,0
31,1,0.0659,0.0313,31/end-1.png,0.0659,0
31,2,0.0955,0.0437,31/end-2.png,0.0955,0
31,3,0.0836,0.0308,31/end-3.png,0.0836,0
31,4,0.1016,0.0257,31/end-4.png,0.1016,1
32,1,0.0716,0.0382,32/end-1.png,0.0716,0
32,2,0.1016,0.0335,32/end-2.png,0.1016,1
32,3,0.0895,0.0283,32/end-3.png,0.0895,0
32,4,0.1015,0.0337,32/end-4.png,0.1015,1
33,1,0.0597,0.0391,33/end-1.png,0.0597,0
33,2,0.0667,0.027,33/end-2.png,0.0667,0
33,3,0.0955,0.0262,33/end-3.png,0.0955,0
33,4,0.0836,0.0281,33/end-4.png,0.0836,0
34,1,0.0836,0.037,34/end-1.png,0.0836,0
34,2,0.065,0.0204,34/end-2.png,0.065,0
34,3,0.0844,0.0286,34/end-3.png,0.0844,0
34,4,0.1,0.0186,34/end-4.png,0.1,0
35,1,0.0807,0.0297,35/end-1.png,0.0807,0
35,2,0.0903,0.0255,35/end-2.png,0.0903,0
35,3,0.0897,0.0372,35/end-3.png,0.0897,0
35,4,0.1255,0.0318,35/end-4.png,0.1255,1
36,1,0.0903,0.0293,36/end-1.png,0.0903,0
36,2,0.0716,0.0196,36/end-2.png,0.0716,0
36,3,0.0957,0.0398,36/end-3.png,0.0957,0
36,4,0.0836,0.0272,36/end-4.png,0.0836,0
37,1,0.1675,0.0669,37/end-1.png,0.1675,1
37,2,0.0659,0.0248,37/end-2.png,0.0659,0
37,3,0.1001,0.0333,37/end-3.png,0.1001,1
37,4,0.0566,0.0364,37/end-4.png,0.0566,0
38,1,0.0726,0.0377,38/end-1.png,0.0726,0
38,2,0.1081,0.0359,38/end-2.png,0.1081,1
38,3,0.0785,0.032,38/end-3.png,0.0785,0
38,4,0.0719,0.0482,38/end-4.png,0.0719,0
39,1,0.0716,0.0263,39/end-1.png,0.0716,0
39,2,0.1122,0.044,39/end-2.png,0.1122,1
39,3,0.0836,0.0284,39/end-3.png,0.0836,0
39,4,0.1259,0.0335,39/end-4.png,0.1259,1
40,1,0.1266,0.0305,40/end-1.png,0.1266,1
40,2,0.1076,0.0239,40/end-2.png,0.1076,1
40,3,0.1194,0.0279,40/end-3.png,0.1194,1
40,4,0.0844,0.0266,40/end-4.png,0.0844,0
41,1,0.103,0.0592,41/end-1.png,0.103,1
41,2,0.0422,0.0212,41/end-2.png,0.0422,0
41,3,0.0955,0.029,41/end-3.png,0.0955,0
41,4,0.1838,0.0312,41/end-4.png,0.1838,1
42,1,0.0719,0.0377,42/end-1.png,0.0719,0
42,2,0.0716,0.0276,42/end-2.png,0.0716,0
42,3,0.0659,0.0319,42/end-3.png,0.0659,0
42,4,0.0994,0.0193,42/end-4.png,0.0994,0
43,1,0.0957,0.0331,43/end-1.png,0.0957,0
43,2,0.1148,0.0295,43/end-2.png,0.1148,1
43,3,0.0719,0.0216,43/end-3.png,0.0719,0
43,4,0.0776,0.0219,43/end-4.png,0.0776,0
44,1,0.0903,0.0323,44/end-1.png,0.0903,0
44,2,0.06,0.0241,44/end-2.png,0.06,0
44,3,0.0778,0.0337,44/end-3.png,0.0778,0
44,4,0.0838,0.0231,44/end-4.png,0.0838,0
45,1,0.0844,0.053,45/end-1.png,0.0844,0
45,2,0.0608,0.0342,45/end-2.png,0.0608,0
45,3,0.0838,0.0356,45/end-3.png,0.0838,0
45,4,0.0895,0.0325,45/end-4.png,0.0895,0
46,1,0.0537,0.0312,46/end-1.png,0.0537,0
46,2,0.0838,0.0287,46/end-2.png,0.0838,0
46,3,0.0656,0.03214,46/end-3.png,0.0656,0
46,4,0.0597,0.0303,46/end-4.png,0.0597,0
47,1,0.0738,0.0401,47/end-1.png,0.0738,0
47,2,0.1015,0.0475,47/end-2.png,0.1015,1
47,3,0.0776,0.0339,47/end-3.png,0.0776,0
47,4,0.0659,0.0313,47/end-4.png,0.0659,0
48,1,0.0778,0.0357,48/end-1.png,0.0778,0
48,2,0.1194,0.0395,48/end-2.png,0.1194,1
48,3,0.0957,0.044,48/end-3.png,0.0957,0
48,4,0.0897,0.0315,48/end-4.png,0.0897,0
49,1,0.0659,0.0314,49/end-1.png,0.0659,0
49,2,0.0836,0.0313,49/end-2.png,0.0836,0
49,3,0.0778,0.0348,49/end-3.png,0.0778,0
49,4,0.0597,0.0293,49/end-4.png,0.0597,0
50,1,0.0895,0.0352,50/end-1.png,0.0895,0
50,2,0.0895,0.034,50/end-2.png,0.0895,0
50,3,0.1074,0.0349,50/end-3.png,0.1074,1
50,4,0.0955,0.0286,50/end-4.png,0.0955,0
51,1,0.0895,0.029,51/end-1.png,0.0895,0
51,2,0.0719,0.0384,51/end-2.png,0.0719,0
51,3,0.0726,0.0252,51/end-3.png,0.0726,0
51,4,0.0716,0.032,51/end-4.png,0.0716,0
52,1,0.0776,0.0401,52/end-1.png,0.0776,0
52,2,0.0895,0.0239,52/end-2.png,0.0895,0
52,3,0.0778,0.0262,52/end-3.png,0.0778,0
52,4,0.1135,0.0441,52/end-4.png,0.1135,1
53,1,0.0719,0.033,53/end-1.png,0.0719,0
53,2,0.0955,0.0369,53/end-2.png,0.0955,0
53,3,0.0808,0.037,53/end-3.png,0.0808,0
53,4,0.06,0.0409,53/end-4.png,0.06,0
54,1,0.1255,0.0978,54/end-1.png,0.1255,1
54,2,0.0895,0.0569,54/end-2.png,0.0895,0
54,3,0.0776,0.0272,54/end-3.png,0.0776,0
54,4,0.6556,0.0267,54/end-4.png,0.6556,3
55,1,0.1015,0.0614,55/end-1.png,0.1015,1
55,2,0.0955,0.0433,55/end-2.png,0.0955,0
55,3,0.0836,0.0211,55/end-3.png,0.0836,0
55,4,0.1076,0.026,55/end-4.png,0.1076,1
56,1,0.0955,0.0409,56/end-1.png,0.0955,0
56,2,0.1434,0.0645,56/end-2.png,0.1434,1
56,3,0.1432,0.1128,56/end-3.png,0.1432,1
56,4,0.1492,0.0644,56/end-4.png,0.1492,1
57,1,0.1074,0.0527,57/end-1.png,0.1074,1
57,2,0.1373,0.0569,57/end-2.png,0.1373,1
57,3,0.1493,0.0897,57/end-3.png,0.1493,1
57,4,0.0659,0.0376,57/end-4.png,0.0659,0
58,1,0.1433,0.0697,58/end-1.png,0.1433,1
58,2,0.1136,0.0533,58/end-2.png,0.1136,1
58,3,0.1492,0.0511,58/end-3.png,0.1492,1
58,4,0.0836,0.0457,58/end-4.png,0.0836,0
59,1,0.1015,0.0536,59/end-1.png,0.1015,1
59,2,0.1015,0.0825,59/end-2.png,0.1015,1
59,3,0.1074,0.0485,59/end-3.png,0.1074,1
59,4,0.1076,0.0399,59/end-4.png,0.1076,1
60,1,0.1076,0.0492,60/end-1.png,0.1076,1
60,2,0.1432,0.0776,60/end-2.png,0.1432,1
60,3,0.1255,0.0444,60/end-3.png,0.1255,1
60,4,0.1199,0.0519,60/end-4.png,0.1199,1
61,1,0.1076,0.0534,61/end-1.png,0.1076,1
61,2,0.1373,0.0661,61/end-2.png,0.1373,1
61,3,0.1076,0.0371,61/end-3.png,0.1076,1
61,4,0.1314,0.0593,61/end-4.png,0.1314,1
62,1,0.1134,0.0648,62/end-1.png,0.1134,1
62,2,0.1314,0.0673,62/end-2.png,0.1314,1
62,3,0.1255,0.0554,62/end-3.png,0.1255,1
62,4,0.0659,0.037,62/end-4.png,0.0659,0
63,1,0.0897,0.0201,63/end-1.png,0.0897,0
63,2,0.0903,0.0348,63/end-2.png,0.0903,0
63,3,0.912,0.343,63/end-3.png,0.912,3
63,4,0.0912,0.0362,63/end-4.png,0.0912,0
64,1,0.1318,0.0568,64/end-1.png,0.1318,1
64,2,0.0785,0.0444,64/end-2.png,0.0785,0
64,3,0.0838,0.0431,64/end-3.png,0.0838,0
64,4,0.0903,0.0337,64/end-4.png,0.0903,0
65,1,0.0838,0.0261,65/end-1.png,0.0838,0
65,2,0.1194,0.0401,65/end-2.png,0.1194,1
65,3,0.1081,0.0418,65/end-3.png,0.1081,1
65,4,0.0838,0.0422,65/end-4.png,0.0838,0
66,1,0.0838,0.0363,66/end-1.png,0.0838,0
66,2,0.0957,0.0346,66/end-2.png,0.0957,0
66,3,0.0897,0.0328,66/end-3.png,0.0897,0
66,4,0.0726,0.0341,66/end-4.png,0.0726,0
67,1,0.1021,0.0368,67/end-1.png,0.1021,1
67,2,0.1081,0.0402,67/end-2.png,0.1081,1
67,3,0.1194,0.0436,67/end-3.png,0.1194,1
67,4,0.1015,0.037,67/end-4.png,0.1015,1
68,1,0.1194,0.055,68/end-1.png,0.1194,1
68,2,0.1255,0.0486,68/end-2.png,0.1255,1
68,3,0.1136,0.0506,68/end-3.png,0.1136,1
68,4,0.0836,0.0418,68/end-4.png,0.0836,0
