cycle_id,cutting_edge,vb_half_ap,vbmax,wear_area,image_file,wear_value,wear_level
19,4,0.203,0.2507,0.1654,19/side-4.png,0.2507,2
20,1,0.2208,0.2352,0.1446,20/side-1.png,0.2352,2
20,2,0.2281,0.2328,0.20550000000000002,20/side-2.png,0.2328,2
20,3,0.2569,0.2746,0.1585,20/side-3.png,0.2746,2
20,4,0.2387,0.2865,0.18259999999999998,20/side-4.png,0.2865,2
21,1,0.1672,0.2152,0.0608,21/side-1.png,0.2152,2
21,2,0.197,0.2065,0.269,21/side-2.png,0.2065,2
21,3,0.2686,0.2751,0.0844,21/side-3.png,0.2751,2
21,4,0.2089,0.2089,0.0963,21/side-4.png,0.2089,2
22,1,0.1911,0.216,0.0618,22/side-1.png,0.216,2
22,2,0.2089,0.2175,0.2237,22/side-2.png,0.2175,2
22,3,0.1971,0.197,0.09490000000000001,22/side-3.png,0.197,1
22,4,0.2166,0.233,0.09769999999999998,22/side-4.png,0.233,2
23,1,0.2029,0.2566,0.1063,23/side-1.png,0.2566,2
23,2,0.2149,0.2268,0.1914,23/side-2.png,0.2268,2
23,3,0.2328,0.2188,0.1051,23/side-3.png,0.2188,2
23,4,0.1911,0.191,0.053899999999999997,23/side-4.png,0.191,1
24,1,0.2145,0.2665,0.1069,24/side-1.png,0.2665,2
24,2,0.236,0.2686,0.22060000000000002,24/side-2.png,0.2686,2
24,3,0.197,0.203,0.10590000000000002,24/side-3.png,0.203,2
24,4,0.2148,0.209,0.07339999999999999,24/side-4.png,0.209,2
25,1,0.2165,0.2668,0.1149,25/side-1.png,0.2668,2
25,2,0.1672,0.203,0.1683,25/side-2.png,0.203,2
25,3,0.1854,0.1854,0.09740000000000001,25/side-3.png,0.1854,1
25,4,0.179,0.185,0.052399999999999995,25/side-4.png,0.185,1
26,1,0.2268,0.2735,0.13190000000000002,26/side-1.png,0.2735,2
26,2,0.179,0.2149,0.21710000000000002,26/side-2.png,0.2149,2
26,3,0.1887,0.1901,0.1106,26/side-3.png,0.1901,1
26,4,0.1806,0.1901,0.052700000000000004,26/side-4.png,0.1901,1
27,1,0.2368,0.2748,0.135,27/side-1.png,0.2748,2
27,2,0.186,0.2509,0.2424,27/side-2.png,0.2509,2
27,3,0.1854,0.193,0.1119,27/side-3.png,0.193,1
27,4,0.1815,0.1911,0.057100000000000005,27/side-4.png,0.1911,1
28,1,0.2509,0.2371,0.1371,28/side-1.png,0.2371,2
28,2,0.1911,0.2712,0.2561,28/side-2.png,0.2712,2
28,3,0.203,0.2148,0.1134,28/side-3.png,0.2148,2
28,4,0.2066,0.2149,0.058199999999999995,28/side-4.png,0.2149,2
29,1,0.2518,0.2548,0.1401,29/side-1.png,0.2548,2
29,2,0.1936,0.281,0.2576,29/side-2.png,0.281,2
29,3,0.2059,0.2318,0.1154,29/side-3.png,0.2318,2
29,4,0.2091,0.2152,0.061099999999999995,29/side-4.png,0.2152,2
30,1,0.2686,0.2865,0.1442,30/side-1.png,0.2865,2
30,2,0.1974,0.2836,0.26139999999999997,30/side-2.png,0.2836,2
30,3,0.2063,0.2386,0.11850000000000002,30/side-3.png,0.2386,2
30,4,0.2103,0.2268,0.0781,30/side-4.png,0.2268,2
31,1,0.2089,0.2805,0.1555,31/side-1.png,0.2805,2
31,2,0.209,0.209,0.3727,31/side-2.png,0.209,2
31,3,0.2805,0.3104,0.1265,31/side-3.png,0.3104,3
31,4,0.1376,0.1611,0.06919999999999998,31/side-4.png,0.1611,1
32,1,0.2507,0.2622,0.1519,32/side-1.png,0.2622,2
32,2,0.06,0.1195,0.2587,32/side-2.png,0.1195,1
32,3,0.1314,0.1914,0.10020000000000001,32/side-3.png,0.1914,1
32,4,0.1373,0.1431,0.0744,32/side-4.png,0.1431,1
33,1,0.3168,0.3581,0.1725,33/side-1.png,0.3581,3
33,2,0.0957,0.1301,0.2817,33/side-2.png,0.1301,1
33,3,0.2388,0.2388,0.067,33/side-3.png,0.2388,2
33,4,0.2627,0.2572,0.09969999999999998,33/side-4.png,0.2572,2
34,1,0.2215,0.2268,0.12290000000000001,34/side-1.png,0.2268,2
34,2,0.0785,0.1022,0.4056,34/side-2.png,0.1022,1
34,3,0.2149,0.2209,0.10840000000000002,34/side-3.png,0.2209,2
34,4,0.2387,0.2924,0.1347,34/side-4.png,0.2924,2
35,1,0.209,0.2089,0.09460000000000002,35/side-1.png,0.2089,2
35,2,0.1911,0.2081,0.26,35/side-2.png,0.2081,2
35,3,0.1313,0.1492,0.0424,35/side-3.png,0.1492,1
35,4,0.1404,0.1433,0.026699999999999995,35/side-4.png,0.1433,1
36,1,0.1731,0.2071,0.08610000000000001,36/side-1.png,0.2071,2
36,2,0.1314,0.1558,0.3528,36/side-2.png,0.1558,1
36,3,0.1493,0.1553,0.06670000000000001,36/side-3.png,0.1553,1
36,4,0.1732,0.2269,0.08459999999999998,36/side-4.png,0.2269,2
37,1,0.2985,0.2924,0.0817,37/side-1.png,0.2924,2
37,2,0.1259,0.1122,0.2608,37/side-2.png,0.1122,1
37,3,0.0785,0.0811,0.02530000000000001,37/side-3.png,0.0811,0
37,4,0.1611,0.1616,0.0713,37/side-4.png,0.1616,1
38,1,0.1552,0.2805,0.1349,38/side-1.png,0.2805,2
38,2,0.1552,0.1439,0.2719,38/side-2.png,0.1439,1
38,3,0.1434,0.1675,0.0824,38/side-3.png,0.1675,1
38,4,0.1432,0.1497,0.0731,38/side-4.png,0.1497,1
39,1,0.1149,0.1255,0.04639999999999999,39/side-1.png,0.1255,1
39,2,0.1318,0.148,0.2764,39/side-2.png,0.148,1
39,3,0.1556,0.1672,0.034999999999999996,39/side-3.png,0.1672,1
39,4,0.1253,0.1493,0.030099999999999995,39/side-4.png,0.1493,1
40,1,0.1671,0.1592,0.05229999999999999,40/side-1.png,0.1592,1
40,2,0.2507,0.1855,0.3331,40/side-2.png,0.1855,1
40,3,0.1374,0.1621,0.0482,40/side-3.png,0.1621,1
40,4,0.1493,0.1552,0.050300000000000004,40/side-4.png,0.1552,1
41,1,0.2149,0.2388,0.0701,41/side-1.png,0.2388,2
41,2,0.3282,0.3165,0.3811,41/side-2.png,0.3165,3
41,3,0.2761,0.2986,0.0801,41/side-3.png,0.2986,2
41,4,0.233,0.2572,0.08459999999999998,41/side-4.png,0.2572,2
42,1,0.1616,0.1671,0.0517,42/side-1.png,0.1671,1
42,2,0.3103,0.3581,0.3001,42/side-2.png,0.3581,3
42,3,0.2156,0.233,0.0564,42/side-3.png,0.233,2
42,4,0.197,0.2037,0.055,42/side-4.png,0.2037,2
43,1,0.1134,0.1313,0.07699999999999999,43/side-1.png,0.1313,1
43,2,0.3347,0.364,0.3186,43/side-2.png,0.364,3
43,3,0.3223,0.3522,0.06870000000000001,43/side-3.png,0.3522,3
43,4,0.1918,0.2043,0.07719999999999999,43/side-4.png,0.2043,2
44,1,0.1977,0.2211,0.039299999999999995,44/side-1.png,0.2211,2
44,2,0.2208,0.245,0.2973,44/side-2.png,0.245,2
44,3,0.2326,0.2686,0.1036,44/side-3.png,0.2686,2
44,4,0.1432,0.1552,0.06989999999999999,44/side-4.png,0.1552,1
45,1,0.2985,0.3223,0.0988,45/side-1.png,0.3223,3
45,2,0.3225,0.3343,0.3356,45/side-2.png,0.3343,3
45,3,0.2149,0.2209,0.11610000000000001,45/side-3.png,0.2209,2
45,4,0.191,0.2029,0.056,45/side-4.png,0.2029,2
46,1,0.1675,0.179,0.0663,46/side-1.png,0.179,1
46,2,0.1791,0.3492,0.3568,46/side-2.png,0.3492,3
46,3,0.2567,0.2925,0.09890000000000002,46/side-3.png,0.2925,2
46,4,0.226,0.2806,0.0613,46/side-4.png,0.2806,2
47,1,0.1189,0.1314,0.0351,47/side-1.png,0.1314,1
47,2,0.2211,0.2746,0.2872,47/side-2.png,0.2746,2
47,3,0.2627,0.3168,0.0852,47/side-3.png,0.3168,3
47,4,0.1947,0.2029,0.07319999999999999,47/side-4.png,0.2029,2
48,1,0.2328,0.2805,0.0701,48/side-1.png,0.2805,2
48,2,0.1314,0.2149,0.3776,48/side-2.png,0.2149,2
48,3,0.1851,0.2328,0.061500000000000006,48/side-3.png,0.2328,2
48,4,0.1016,0.1194,0.0603,48/side-4.png,0.1194,1
49,1,0.1818,0.2033,0.0854,49/side-1.png,0.2033,2
49,2,0.2748,0.2865,0.42,49/side-2.png,0.2865,2
49,3,0.1553,0.179,0.07,49/side-3.png,0.179,1
49,4,0.191,0.2269,0.10619999999999999,49/side-4.png,0.2269,2
50,1,0.1973,0.2328,0.06570000000000001,50/side-1.png,0.2328,2
50,2,0.1969,0.3282,0.4758,50/side-2.png,0.3282,3
50,3,0.185,0.2208,0.07769999999999999,50/side-3.png,0.2208,2
50,4,0.1255,0.1434,0.0628,50/side-4.png,0.1434,1
51,1,0.1374,0.1621,0.06420000000000001,51/side-1.png,0.1621,1
51,2,0.2808,0.2986,0.3547,51/side-2.png,0.2986,2
51,3,0.2453,0.2745,0.1403,51/side-3.png,0.2745,2
51,4,0.1434,0.1735,0.0696,51/side-4.png,0.1735,1
52,1,0.1318,0.1556,0.04359999999999999,52/side-1.png,0.1556,1
52,2,0.2271,0.2447,0.3513,52/side-2.png,0.2447,2
52,3,0.1747,0.2092,0.0578,52/side-3.png,0.2092,2
52,4,0.185,0.2268,0.06919999999999998,52/side-4.png,0.2268,2
53,1,0.2328,0.345,0.0887,53/side-1.png,0.345,3
53,2,0.1374,0.3109,0.3039,53/side-2.png,0.3109,3
53,3,0.2985,0.376,0.0802,53/side-3.png,0.376,3
53,4,0.1794,0.2507,0.052899999999999996,53/side-4.png,0.2507,2
54,1,0.2865,0.2999,0.0608,54/side-1.png,0.2999,2
54,2,0.2092,0.3402,0.26539999999999997,54/side-2.png,0.3402,3
54,3,0.3104,0.4148,0.08750000000000002,54/side-3.png,0.4148,3
54,4,0.1911,0.2211,0.09670000000000001,54/side-4.png,0.2211,2
55,1,0.0719,0.0982,0.04349999999999999,55/side-1.png,0.0982,0
55,2,0.3702,0.4099,0.48329999999999995,55/side-2.png,0.4099,3
55,3,0.1556,0.1893,0.0415,55/side-3.png,0.1893,1
55,4,0.2448,0.2566,0.19590000000000002,55/side-4.png,0.2566,2
56,1,0.2268,0.2806,0.0862,56/side-1.png,0.2806,2
56,2,0.3223,0.3701,0.5034,56/side-2.png,0.3701,3
56,3,0.2686,0.3048,0.16990000000000002,56/side-3.png,0.3048,3
56,4,0.197,0.2152,0.17679999999999998,56/side-4.png,0.2152,2
57,1,0.1553,0.3046,0.1959,57/side-1.png,0.3046,3
57,2,0.376,0.4198,0.5488,57/side-2.png,0.4198,3
57,3,0.2271,0.2387,0.17220000000000002,57/side-3.png,0.2387,2
57,4,0.179,0.2984,0.21489999999999998,57/side-4.png,0.2984,2
58,1,0.2148,0.2924,0.1762,58/side-1.png,0.2924,2
58,2,0.2746,0.3223,0.5693,58/side-2.png,0.3223,3
58,3,0.2746,0.3465,0.27149999999999996,58/side-3.png,0.3465,3
58,4,0.1378,0.2271,0.1802,58/side-4.png,0.2271,2
59,1,0.1191,0.2102,0.0905,59/side-1.png,0.2102,2
59,2,0.3701,0.4,0.5033,59/side-2.png,0.4,3
59,3,0.185,0.2761,0.28559999999999997,59/side-3.png,0.2761,2
59,4,0.2268,0.2627,0.1577,59/side-4.png,0.2627,2
60,1,0.185,0.2507,0.1243,60/side-1.png,0.2507,2
60,2,0.2806,0.4187,0.5184,60/side-2.png,0.4187,3
60,3,0.3223,0.378,0.3364,60/side-3.png,0.378,3
60,4,0.2152,0.2453,0.1346,60/side-4.png,0.2453,2
61,1,0.3521,0.3564,0.24830000000000002,61/side-1.png,0.3564,3
61,2,0.37,0.4655,0.7111,61/side-2.png,0.4655,3
61,3,0.2387,0.412,0.3432,61/side-3.png,0.412,3
61,4,0.3344,0.382,0.2735,61/side-4.png,0.382,3
62,1,0.3583,0.4837,0.22760000000000002,62/side-1.png,0.4837,3
62,2,0.2984,0.4655,0.5421,62/side-2.png,0.4655,3
62,3,0.2572,0.3523,0.2034,62/side-3.png,0.3523,3
62,4,0.3223,0.3406,0.2012,62/side-4.png,0.3406,3
63,1,0.5374,0.5213,0.2756,63/side-1.png,0.5213,3
63,2,0.2686,0.4123,0.5957,63/side-2.png,0.4123,3
63,3,0.2509,0.3836,0.27709999999999996,63/side-3.png,0.3836,3
63,4,0.203,0.3625,0.3051,63/side-4.png,0.3625,3
64,1,0.7221,0.6183,0.2365,64/side-1.png,0.6183,3
64,2,0.4834,0.5126,0.5579999999999999,64/side-2.png,0.5126,3
64,3,0.3223,0.3561,0.3414,64/side-3.png,0.3561,3
64,4,0.2686,0.312,0.335,64/side-4.png,0.312,3
65,1,0.6566,0.6505,0.3129,65/side-1.png,0.6505,3
65,2,0.3999,0.3941,0.3893,65/side-2.png,0.3941,3
65,3,0.3347,0.3282,0.21670000000000003,65/side-3.png,0.3282,3
65,4,0.4118,0.4059,0.2158,65/side-4.png,0.4059,3
66,1,0.6505,0.6207,0.1715,66/side-1.png,0.6207,3
66,2,0.2808,0.2805,0.3201,66/side-2.png,0.2805,2
66,3,0.3103,0.3103,0.12630000000000002,66/side-3.png,0.3103,3
66,4,0.3282,0.3581,0.1192,66/side-4.png,0.3581,3
67,1,0.4894,0.5729,0.21300000000000002,67/side-1.png,0.5729,3
67,2,0.185,0.3464,0.32939999999999997,67/side-2.png,0.3464,3
67,3,0.2865,0.3228,0.13720000000000002,67/side-3.png,0.3228,3
67,4,0.2925,0.3044,0.13649999999999998,67/side-4.png,0.3044,3
68,1,0.5193,0.6983,0.198,68/side-1.png,0.6983,3
68,2,0.2745,0.3701,0.5055,68/side-2.png,0.3701,3
68,3,0.3163,0.3283,0.185,68/side-3.png,0.3283,3
68,4,0.3402,0.3164,0.1751,68/side-4.png,0.3164,3
